ds,y,yhat,yhat_lower,yhat_upper
2014-12-27,393,386.3646851960136,306.2108398462839,462.25294718439324
2014-12-28,391,363.7310539048665,285.4536443178468,434.807286178225
2014-12-29,278,282.61416350256815,208.47050533022565,357.35414508300516
2014-12-30,372,288.0949108700654,208.3012011308313,359.70993350381826
2014-12-31,292,286.78364239970864,209.83806814055256,361.2497738490366
2015-01-01,393,348.51093801457307,271.4316555740333,427.30969357958406
2015-01-02,423,292.2436173362766,218.31807899609572,362.6112563302591
2015-01-03,382,364.07501345502266,291.4469559033595,441.15736846151907
2015-01-04,326,342.12897999340294,259.99491324597983,414.1570616468783
2015-01-05,227,262.1923947765844,185.019243220196,331.7376127561336
2015-01-06,276,269.3295636357697,194.96595749678843,346.2668984912105
2015-01-07,279,270.121864827156,196.48144916519507,343.6759080036689
2015-01-08,304,269.3921396640647,190.34364899891318,345.04188653806466
2015-01-09,167,280.95639718587125,204.1452872284386,350.964184532306
2015-01-10,377,355.94566400052963,285.1396024100164,431.69222920186667
2015-01-11,387,337.3810685400595,265.1379285788562,412.16507870860494
2015-01-12,221,260.9732310943156,192.19815633728746,334.9316351733079
2015-01-13,276,271.7055109334216,196.27019688315372,349.45010861114616
2015-01-14,241,276.07567029246184,203.69942842299815,350.5548131279748
2015-01-15,250,278.8223684768317,201.2084230736348,353.40187595490374
2015-01-16,289,293.6789975724166,218.3818785855502,370.302689755027
2015-01-17,0,371.6976336619035,296.98868825424586,443.26662524080115
2015-01-18,383,355.82613625164583,279.85038894290903,427.1633687013072
2015-01-19,276,281.7094130060356,209.07212415974297,357.8954033532299
2015-01-20,278,294.2743506225729,220.60295063400784,365.41742304023086
2015-01-21,292,299.97292631566245,221.68010559166407,377.3401186725799
2015-01-22,297,303.51014366570547,230.32400652455613,373.4758510941666
2015-01-23,441,318.597926211835,239.0026181040453,393.13516667598327
2015-01-24,349,398.97854658772815,321.1030742902991,470.063441682507
2015-01-25,389,382.2091163147725,306.15920700438994,455.65969652049813
2015-01-26,331,306.6514957752065,229.7764141119178,376.4800400649413
2015-01-27,256,317.2641937125678,240.87715134367284,387.3447440259679
2015-01-28,325,320.54278519603207,250.89221191996418,393.62524557640137
2015-01-29,360,321.24644545606657,243.1582181152427,398.01303117838273
2015-01-30,336,333.151244418027,265.7893379466778,411.20403885119487
2015-01-31,338,407.37299154788286,335.2921689188747,475.2738906278632
2015-02-01,309,386.94269465890073,313.7050845484021,463.37053203884386
2015-02-02,305,307.6056950674632,233.62345392665543,384.29530007813867
2015-02-03,328,314.4040382583281,239.5898726172116,390.8463016652072
2015-02-04,377,313.9166642467089,237.61227914072566,389.5566672596041
2015-02-05,356,310.9838711760231,239.0270874926577,382.4136264245472
2015-02-06,355,319.4586186154258,239.88655155880542,391.72694674049376
2015-02-07,392,390.52751259786584,313.04576472575155,465.94334653964967
2015-02-08,380,367.28458447987435,291.09179382557784,447.8854373936865
2015-02-09,227,282.83083577662325,208.12872471677028,361.49326535083526
2015-02-10,272,287.6479448793605,213.31232152857436,362.8932431149125
2015-02-11,294,285.6487487807492,208.11287253045398,361.27433147087294
2015-02-12,265,281.69364136074523,209.056999136416,357.5605325767499
2015-02-13,329,289.6434667214333,217.44260980449346,363.59176252338926
2015-02-14,464,360.6805530185552,282.3267250208762,430.68455246133936
2015-02-15,358,337.8828598262862,262.48480401520857,411.81651001633685
2015-02-16,248,257.0223300953393,181.04643352365827,335.2059564895808
2015-02-17,242,263.1470197995471,188.58753162962444,336.9532869399561
2015-02-18,212,262.8215884000168,193.79965556362092,338.13577222608336
2015-02-19,219,260.85258779861334,179.32945721199954,333.1582101693655
2015-02-20,235,271.04108614143996,195.3718498489614,346.2610387616444
2015-02-21,425,344.5054251754905,265.20415506073084,419.26098264275987
2015-02-22,399,324.25716800846607,252.31897632934155,398.30988159309095
2015-02-23,221,246.00127733068769,165.30758777570546,317.09599921670446
2015-02-24,217,254.72004619373436,180.15301917717477,327.76390457208595
2015-02-25,240,256.9153149197609,183.51385200805117,334.5857064497144
